ev_id,model_name,battery_pct,target_battery_pct,battery_capacity_kwh,arrival_time,departure_time,stay_duration_hours,energy_required_kwh,max_charging_power_kw,voltage_v,current_a,grid_load_pct,actual_duration_min
EV-SYNTH-1030,Nissan Leaf,36.6,85,40.0,14:41,21:18,4.94,19.36,60.0,408.0,147.1,42.0,21.4
EV-SYNTH-1031,Kia EV6,40.5,90,77.4,18:30,13:52,4.92,38.31,60.0,408.7,146.8,50.1,43.4
EV-SYNTH-1032,Hyundai Ioniq 5,11.1,85,77.4,16:15,16:14,5.22,57.2,120.0,417.2,287.6,56.2,36.4
EV-SYNTH-1033,Nissan Leaf,30.9,90,40.0,21:07,17:17,2.71,23.64,150.0,396.2,378.6,39.5,13.8
EV-SYNTH-1034,Porsche Taycan,15.5,80,93.4,12:11,16:27,4.22,60.24,50.0,417.7,119.7,81.1,83.6
EV-SYNTH-1035,Kia EV6,24.2,95,77.4,11:47,17:40,3.01,54.8,120.0,414.4,289.6,44.7,35.1
EV-SYNTH-1036,Porsche Taycan,16.3,80,93.4,07:23,23:43,3.59,59.5,60.0,415.0,144.6,71.0,63.4
EV-SYNTH-1037,Tesla Model Y,40.0,85,75.0,16:29,11:12,4.07,33.75,100.0,407.9,245.2,61.3,24.8
EV-SYNTH-1038,Volkswagen ID.4,36.8,85,77.0,08:04,10:59,1.56,37.11,120.0,392.1,306.0,72.8,16.7
EV-SYNTH-1039,Kia EV6,40.2,85,77.4,06:42,23:21,4.9,34.68,120.0,414.2,289.7,90.2,26.4
EV-SYNTH-1040,Nissan Leaf,21.3,95,40.0,08:31,16:12,4.59,29.48,50.0,396.4,126.1,81.2,39.6
EV-SYNTH-1041,Volkswagen ID.4,16.0,80,77.0,15:49,16:01,1.94,49.28,120.0,417.8,287.2,76.7,32.6
EV-SYNTH-1042,Nissan Leaf,15.4,100,40.0,16:58,13:52,3.16,33.84,50.0,419.9,119.1,59.9,43.4
EV-SYNTH-1043,Kia EV6,16.5,85,77.4,20:47,23:07,2.98,53.02,100.0,402.4,248.5,56.4,39.5
EV-SYNTH-1044,Kia EV6,35.2,95,77.4,12:44,22:19,4.39,46.29,100.0,400.5,249.7,91.4,36.6
EV-SYNTH-1045,Hyundai Ioniq 5,23.0,85,77.4,20:09,10:46,3.1,47.99,150.0,415.2,361.3,44.0,26.8
EV-SYNTH-1046,Nissan Leaf,11.0,85,40.0,06:21,22:23,5.36,29.6,100.0,417.9,239.3,45.0,15.6
EV-SYNTH-1047,Nissan Leaf,14.7,90,40.0,16:11,14:42,3.31,30.12,150.0,396.1,378.7,37.1,12.7
EV-SYNTH-1048,Porsche Taycan,56.1,85,93.4,15:35,22:33,1.64,26.99,100.0,399.4,250.4,85.7,15.7
EV-SYNTH-1049,Volkswagen ID.4,48.9,85,77.0,14:21,22:35,3.3,27.8,60.0,410.5,146.2,90.6,37.2
EV-SYNTH-1050,Ford Mustang Mach-E,26.3,95,88.0,10:43,16:09,2.38,60.46,100.0,390.8,255.9,71.7,37.2
EV-SYNTH-1051,Porsche Taycan,43.4,90,93.4,13:16,11:48,5.41,43.52,100.0,419.2,238.5,47.3,29.3
EV-SYNTH-1052,Tesla Model Y,44.0,80,75.0,17:29,19:57,3.28,27.0,50.0,391.2,127.8,76.9,41.0
EV-SYNTH-1053,Kia EV6,21.1,95,77.4,11:12,11:50,3.63,57.2,120.0,390.8,307.1,71.4,35.5
EV-SYNTH-1054,Kia EV6,22.5,90,77.4,19:44,09:29,4.9,52.25,100.0,415.8,240.5,79.4,38.2
EV-SYNTH-1055,Hyundai Ioniq 5,58.4,95,77.4,06:27,17:11,2.71,28.33,150.0,409.7,366.1,57.2,12.8
EV-SYNTH-1056,Ford Mustang Mach-E,29.6,85,88.0,17:06,08:41,3.69,48.75,120.0,400.4,299.7,84.2,32.7
EV-SYNTH-1057,Tesla Model Y,32.4,100,75.0,09:21,11:38,2.24,50.7,120.0,395.6,303.3,64.6,25.7
EV-SYNTH-1058,Volkswagen ID.4,54.2,80,77.0,08:50,23:20,1.79,19.87,100.0,407.9,245.2,37.5,12.0
EV-SYNTH-1059,Hyundai Ioniq 5,22.6,100,77.4,15:17,15:03,2.0,59.91,60.0,409.6,146.5,92.0,73.2
EV-SYNTH-1060,Tesla Model 3,48.8,90,60.0,09:45,21:50,2.09,24.72,120.0,401.1,299.2,33.5,12.1
EV-SYNTH-1061,Hyundai Ioniq 5,33.9,85,77.4,07:00,19:45,5.3,39.55,150.0,415.0,361.4,37.9,21.8
EV-SYNTH-1062,Volkswagen ID.4,44.2,90,77.0,10:46,23:54,3.99,35.27,50.0,405.8,123.2,50.7,46.0
EV-SYNTH-1063,Tesla Model Y,55.1,80,75.0,07:53,17:56,3.49,18.68,100.0,392.5,254.8,66.1,12.0
EV-SYNTH-1064,Porsche Taycan,13.2,80,93.4,21:10,12:33,3.05,62.39,50.0,397.8,125.7,52.2,81.0
EV-SYNTH-1065,Tesla Model 3,43.9,80,60.0,08:41,12:14,3.89,21.66,120.0,418.4,286.8,84.9,18.2
EV-SYNTH-1066,Hyundai Ioniq 5,42.9,80,77.4,08:32,23:52,2.07,28.72,120.0,411.8,291.4,83.4,20.9
EV-SYNTH-1067,Kia EV6,33.7,80,77.4,16:15,14:56,3.82,35.84,150.0,407.9,367.7,53.7,21.1
EV-SYNTH-1068,Volkswagen ID.4,32.0,100,77.0,11:51,23:42,1.77,52.36,22.0,415.6,52.9,58.6,159.7
EV-SYNTH-1069,Ford Mustang Mach-E,21.5,95,88.0,18:03,13:38,4.15,64.68,120.0,396.4,302.7,70.9,37.9
EV-SYNTH-1070,Tesla Model 3,18.4,85,60.0,15:29,10:10,4.09,39.96,50.0,391.4,127.7,47.2,54.8
EV-SYNTH-1071,Porsche Taycan,41.2,90,93.4,09:26,09:20,3.96,45.58,120.0,419.7,285.9,85.6,32.1
EV-SYNTH-1072,Tesla Model 3,57.0,95,60.0,16:46,08:28,2.8,22.8,120.0,412.0,291.3,36.6,17.9
EV-SYNTH-1073,Kia EV6,13.9,90,77.4,12:45,16:31,3.69,58.9,50.0,405.3,123.4,65.6,78.6
EV-SYNTH-1074,Porsche Taycan,35.7,90,93.4,07:16,20:39,3.45,50.72,100.0,418.2,239.1,77.4,35.3
EV-SYNTH-1075,Nissan Leaf,54.3,80,40.0,18:57,17:44,4.39,10.28,50.0,392.4,127.4,60.4,12.0
EV-SYNTH-1076,Tesla Model 3,47.4,95,60.0,18:30,21:35,4.04,28.56,120.0,403.0,297.8,68.3,17.6
EV-SYNTH-1077,Tesla Model Y,23.1,90,75.0,16:45,10:15,2.33,50.18,120.0,392.2,306.0,52.1,24.7
EV-SYNTH-1078,Ford Mustang Mach-E,34.4,80,88.0,12:33,15:04,3.91,40.13,50.0,415.3,120.4,60.0,53.9
EV-SYNTH-1079,Tesla Model Y,45.2,95,75.0,20:22,11:49,4.27,37.35,60.0,418.7,143.3,71.7,45.7
EV-SYNTH-1080,Tesla Model Y,18.8,90,75.0,14:24,23:18,5.32,53.4,120.0,415.3,288.9,49.5,31.0
EV-SYNTH-1081,Porsche Taycan,38.8,80,93.4,20:27,07:27,4.92,38.48,22.0,394.8,55.7,69.9,111.9
EV-SYNTH-1082,Nissan Leaf,33.8,95,40.0,15:35,11:30,4.55,24.48,60.0,395.7,151.6,44.2,25.1
EV-SYNTH-1083,Ford Mustang Mach-E,10.1,90,88.0,14:50,13:10,5.29,70.31,150.0,414.6,361.8,43.8,28.8
EV-SYNTH-1084,Tesla Model Y,21.4,85,75.0,12:51,12:57,5.31,47.7,150.0,415.1,361.4,55.7,21.7
EV-SYNTH-1085,Ford Mustang Mach-E,18.6,85,88.0,17:30,13:46,5.92,58.43,60.0,406.3,147.7,36.3,63.9
EV-SYNTH-1086,Nissan Leaf,33.2,80,40.0,19:42,08:33,4.35,18.72,100.0,400.4,249.8,33.6,16.5
EV-SYNTH-1087,Kia EV6,27.5,95,77.4,15:29,16:55,3.26,52.25,100.0,412.1,242.7,38.9,39.6
EV-SYNTH-1088,Ford Mustang Mach-E,28.0,95,88.0,16:14,13:36,2.56,58.96,22.0,398.7,55.2,85.3,187.5
EV-SYNTH-1089,Porsche Taycan,43.3,100,93.4,17:36,07:24,3.51,52.96,100.0,419.1,238.6,45.8,38.7
EV-SYNTH-1090,Tesla Model 3,34.5,85,60.0,20:06,08:03,3.85,30.3,100.0,393.3,254.3,67.6,20.9
EV-SYNTH-1091,Volkswagen ID.4,50.5,90,77.0,20:04,11:11,2.32,30.42,50.0,405.4,123.3,64.1,39.6
EV-SYNTH-1092,Volkswagen ID.4,38.1,100,77.0,06:38,07:45,2.24,47.66,150.0,392.3,382.4,58.0,21.6
EV-SYNTH-1093,Ford Mustang Mach-E,52.8,80,88.0,14:20,21:24,4.53,23.94,60.0,419.5,143.0,73.8,23.0
EV-SYNTH-1094,Tesla Model 3,32.8,95,60.0,20:21,14:49,2.82,37.32,22.0,405.4,54.3,90.2,126.1
EV-SYNTH-1095,Nissan Leaf,38.2,80,40.0,19:55,12:34,3.61,16.72,100.0,420.0,238.1,60.2,14.9
EV-SYNTH-1096,Kia EV6,48.3,85,77.4,20:30,10:08,2.94,28.41,150.0,394.9,379.8,59.4,13.2
EV-SYNTH-1097,Ford Mustang Mach-E,48.2,80,88.0,18:43,19:41,2.29,27.98,120.0,391.6,306.4,70.4,14.4
EV-SYNTH-1098,Kia EV6,38.0,100,77.4,15:06,19:18,5.59,47.99,100.0,392.8,254.6,80.8,36.2
EV-SYNTH-1099,Porsche Taycan,13.1,80,93.4,18:20,21:09,4.63,62.48,150.0,404.2,371.1,82.8,32.6
EV-SYNTH-1100,Ford Mustang Mach-E,13.9,90,88.0,11:54,13:27,5.61,66.97,100.0,402.1,248.7,87.5,43.7
